id,title,date,image,list_price,list_price_2,selling_price,description,active_ingredient,therapeutic_action,distributor_product_id,supplier_product_id,timestamp,category_id,enterprise_supplier_product_id,status
712,KENSOL X 10 ML,2024-12-04,products/dfv/reduced/prod_170240_red.jpg,0.0,0.0,0.0,Desc. KENSOL X 10 ML,Xilacina (como clorhidrato) 20 mg.,"Sedante, miorrelajante, analgésico y anestésico.",170240,,2025-08-04 04:01:46.204097+00,2.0,1070,1
124,ACEDERM SPRAY X 20 ML.,2024-02-16,products/dfv/reduced/prod_240366_red.jpg,0.0,0.0,0.0,Desc. ACEDERM SPRAY X 20 ML.,Hidrocortisona aceponato.,Corticiode. Calma el prurito.,240366,,2025-08-04 04:01:56.852468+00,2.0,9,1
270,,2024-05-08,,0.0,0.0,0.0,Desc. ,,,99825632,,2024-05-09 04:00:54.772477+00,,3,0
438,ADAPTIL COLLAR SMALL,2024-05-12,products/dfv/reduced/prod_262106_red.jpg,0.0,0.0,0.0,Desc. ADAPTIL COLLAR SMALL,Feromona,Ana?logo de la feromona de apaciguamiento ,262106,,2025-08-04 04:02:31.14772+00,2.0,19,1
461,BUCAL VET X 250 ML.,2024-05-12,products/dfv/reduced/prod_262187_red.jpg,0.0,0.0,0.0,Desc. BUCAL VET X 250 ML.,"Xylitol 0,5%","Antisepticos, desinfectantes/Guanidinas",262187,,2025-08-04 04:02:32.750128+00,5.0,19,1
386,ENROPLUS 150 MG. X 1 FP,2024-05-12,products/dfv/reduced/prod_262015_red.jpg,0.0,0.0,0.0,Desc. ENROPLUS 150 MG. X 1 FP, Enrofloxacina 150 mg,Antibiótico de amplio espectro - Quinolona,262015,,2025-08-04 04:02:28.102828+00,2.0,19,1
417,TOTALVET MEDIANO X 8 COMP. FP,2024-05-12,products/dfv/reduced/prod_262071_red.jpg,0.0,0.0,0.0,Desc. TOTALVET MEDIANO X 8 COMP. FP,"Vitamina A 0,06%; Sulfato de Manganeso 0,3%; Vitamina D3 0,0000625%; Sulfato de Zinc 0,25%; Vitamina E 0,1%; Sulfato Ferroso 2%; Vitamina B1 (Tiamina) 0,05%; Sulfato de Cobre 0,5%; etc.","Tratamiento y prevención de osteoartrosis y procesos inflamatorios de las articulaciones, además de corregir las deficiencias vitamínicas, minerales y de aminoácidos",262071,,2025-08-04 04:02:29.670802+00,2.0,19,1
834,K-OTHRINA X 250 ML.,2025-07-12,enterprises/logo_redondo.jpg,0.0,0.0,0.0,Desc. K-OTHRINA X 250 ML.,,,109125,,2025-08-04 04:00:04.328862+00,2.0,1598,1
796,LEGEND VIAL X 4 ML.,2025-05-08,products/dfv/reduced/prod_200558_red.jpg,0.0,0.0,0.0,Desc. LEGEND VIAL X 4 ML.,Acido hialurónico 10 mg/ml.,Condroprotector.,200558,,2025-08-04 04:01:49.907041+00,6.0,1513,1
147,PIMOBENDAN  2.5 MG X 20 COMP,2024-02-16,products/dfv/reduced/prod_240659_red.jpg,0.0,0.0,0.0,Desc. PIMOBENDAN  2.5 MG X 20 COMP,Pimobendán 2.5,Inotropico positivo,240659,,2025-08-04 04:01:59.922989+00,7.0,9,1
692,KURADERM PLATA AEROSOL X 100 ML,2024-12-04,products/dfv/reduced/prod_170061_red.jpg,0.0,0.0,0.0,Desc. KURADERM PLATA AEROSOL X 100 ML,"Sulfadiazina de Plata 1,25 gramos; Neomicina base (como Sulfato de Neomicina base) 5,40 g","Cicatrizante fisiológico. Poderoso bactericida, Queratoplástico.",170061,,2025-08-04 04:01:44.402147+00,2.0,1070,1
150,CETFUR PLUS INY. X 100 ML.,2024-02-16,products/dfv/reduced/prod_240751_red.jpg,0.0,0.0,0.0,Desc. CETFUR PLUS INY. X 100 ML.,Ceftiofur clorhidrato 50 mg/ml. Ketoprofeno 100 mg/ml,Antimicrobiano.,240751,,2025-08-04 04:02:00.077925+00,2.0,9,1
908,TRIPACK-PROTECH PERROS 40-60 KG,2025-07-12,enterprises/logo.jpg,0.0,0.0,0.0,Desc. TRIPACK-PROTECH PERROS 40-60 KG,"Piriproxifeno, Imidacloprid, Butóxido de piperonilo, Permetrina","Antiparasitario externo contra pulgas, garrapatas y mosquitos.",210157,,2025-08-04 04:00:38.844234+00,4.0,1599,1
78,PIMOCARD HOLL 10 MG X 100 CS HOSP.,2024-02-01,products/dfv/reduced/prod_120224_red.jpg,0.0,0.0,0.0,Desc. PIMOCARD HOLL 10 MG X 100 CS HOSP.,Pimobendan,Cardiológico,120224,,2025-08-04 04:01:19.378473+00,7.0,8,1
927,COMFORTIS H/ 4 KG 140MG  X 1 TABL,2025-07-12,products/dfv/reduced/prod_81001_red.jpg,0.0,0.0,0.0,Desc. COMFORTIS H/ 4 KG 140MG  X 1 TABL,Spinosad ,En caninos para la prevención y tratamiento de infestaciones de pulgas (Ctenocephalides felis).,81001,,2025-08-04 04:02:44.095453+00,4.0,1598,1
434,TRIVERMEX 60 KG X 6 CS PREMIUM,2024-05-12,products/dfv/reduced/prod_262097_red.jpg,0.0,0.0,0.0,Desc. TRIVERMEX 60 KG X 6 CS PREMIUM,"Praziquantel 50 mg, Fenbendazol 500 mg, Pirantel Pamoato 50 mg",Antiparasitario interno de amplio espectro.,262097,,2025-08-04 04:02:30.661891+00,3.0,19,1
818,CIDAR PERROS 25 A 50 KG,2025-05-13,products/dfv/reduced/prod_170117_red.jpg,0.0,0.0,0.0,Desc. CIDAR PERROS 25 A 50 KG,Spinosad 1500 mg / Selamectina 300 mg,"Antiparasitario interno y externo palatable. Actúa contra pulgas, garrapatas, ácaros, gusanos del corazón y nematodos gastrointestinales (ascáridos, anquilostómidos, tricúridos). Previene la dirofilariosis",170117,,2025-08-04 04:01:45.416984+00,1.0,1070,1
826,SEMINTRA X 30 ML,2025-06-03,enterprises/Logo-Boehringer-verde-circular.png,0.0,0.0,0.0,Desc. SEMINTRA X 30 ML,,,230115,,2025-08-04 04:00:42.868602+00,1.0,1513,1
854,ADVANTIX X 1 PIP H/25,2025-07-12,products/dfv/reduced/prod_20394_red.jpg,0.0,0.0,0.0,Desc. ADVANTIX X 1 PIP H/25,Imidacloprid 10 % Permetrina 50 %,"Antiparasitario externo, Pulguicida, Garrapaticida, Repelente de insectos",20394,,2025-08-04 04:01:50.344587+00,4.0,1598,1
644,MOXIDEX PLUS X 6 COMP.,2024-10-29,products/dfv/reduced/prod_261052_red.jpg,0.0,0.0,0.0,Desc. MOXIDEX PLUS X 6 COMP.,Moxidectina 2 mg. Praziquantel 50 mg.,Antiparasitario interno de amplio espectro.,261052,,2025-08-04 04:02:08.015441+00,3.0,945,1
833,PIMOCARD HOLL  1.25MG X 100 CS HOSP.,2025-07-10,enterprises/logo_holliday_1.jpg,0.0,0.0,0.0,Desc. PIMOCARD HOLL  1.25MG X 100 CS HOSP.,,,1205551,,2025-08-04 04:00:14.923386+00,1.0,8,1
2,ACEDAN GOTAS X 10 ML,2024-02-01,products/dfv/reduced/prod_120001_red.jpg,0.0,0.0,0.0,Desc. ACEDAN GOTAS X 10 ML,Acepromazina maleato 10 mg/ml.,Tranquilizante neuroléptico.,120001,,2025-08-04 04:00:17.967891+00,2.0,8,1
212,,2024-05-08,,0.0,0.0,0.0,Desc. ,,,120123,,2024-05-09 04:00:50.64253+00,,8,0
201,,2024-05-08,,0.0,0.0,0.0,Desc. ,,,1021,,2024-05-09 04:00:50.360109+00,,3,0
211,,2024-05-08,,0.0,0.0,0.0,Desc. ,,,120305,,2024-05-09 04:00:50.682527+00,,8,0
10,ECTHOL COLLAR GRANDE X 63 CM.,2024-02-01,products/dfv/reduced/prod_120033_red.jpg,0.0,0.0,0.0,Desc. ECTHOL COLLAR GRANDE X 63 CM.,Clorpirifós 10%.,Antiparasitario externo.,120033,,2025-08-04 04:00:23.050034+00,4.0,8,1
753,ESPUMA SECA FAUNA QUICK FOAM X 210 ML,2024-12-04,products/dfv/reduced/prod_170656_red.jpg,0.0,0.0,0.0,Desc. ESPUMA SECA FAUNA QUICK FOAM X 210 ML,"Acido Esteárico 0.106 g; Lauril Sulfato de Trietanolamina 0.074 g, Benzoato de sodio 0.414 g",Espuma de baño seco con acción antiséptica,170656,,2025-08-04 04:01:48.275981+00,5.0,1070,1
582,VETSCAN TUBO VIOLETA EDTA PACK X 50,2024-05-12,products/dfv/reduced/prod_901674_red.jpg,0.0,0.0,0.0,Desc. VETSCAN TUBO VIOLETA EDTA PACK X 50,,,901674,,2025-08-04 04:02:45.522437+00,9.0,20,1
835,K-OTHRINA FOG X 426 CM3 / 249 GR.,2025-07-12,enterprises/logo_redondo.jpg,0.0,0.0,0.0,Desc. K-OTHRINA FOG X 426 CM3 / 249 GR.,,,109100,,2025-08-04 04:00:04.161306+00,2.0,1598,1
436,ENROPLUS I. X 100 ML.,2024-05-12,products/dfv/reduced/prod_262102_red.jpg,0.0,0.0,0.0,Desc. ENROPLUS I. X 100 ML.,Enrofloxacina 5 %.,Antimicrobiano de amplio espectro - Quinolona,262102,,2025-08-04 04:02:30.640098+00,2.0,19,1
366,ALGIDOL X 50 ML INY (TRAMADOL 75MG),2024-05-12,products/dfv/reduced/prod_261137_red.jpg,0.0,0.0,0.0,Desc. ALGIDOL X 50 ML INY (TRAMADOL 75MG),Tramadol clorhidrato 5%,Anestésicos - Tranquilizantes - Analgésicos,261137,,2025-08-04 04:02:14.761137+00,2.0,19,1
909,TRIPACK-PROTECH PERROS 10-25 KG,2025-07-12,enterprises/logo.jpg,0.0,0.0,0.0,Desc. TRIPACK-PROTECH PERROS 10-25 KG,"Piriproxifeno, Imidacloprid, Butóxido de piperonilo, Permetrina","Antiparasitario externo contra pulgas, garrapatas y mosquitos.",210155,,2025-08-04 04:00:38.721723+00,4.0,1599,1
49,"CICLOSPORINA 1 % UNG. X 3,5 GR.",2024-02-01,products/dfv/reduced/prod_120107_red.jpg,0.0,0.0,0.0,"Desc. CICLOSPORINA 1 % UNG. X 3,5 GR.",Ciclosporina A (USP)1 g. Excipientes c.s.p. 100g.,"Inmunomodulador, lacrimomimético, antiinflamatorio.",120107,,2025-08-04 04:01:00.734406+00,2.0,8,1
474,DUOSECRETINA INY X 100 ML.,2024-05-12,products/dfv/reduced/prod_262212_red.jpg,0.0,0.0,0.0,Desc. DUOSECRETINA INY X 100 ML.,"Menbutona 7%, Ácido Tióctico 0,5%.",Colerético - Colagogo - Hipersecretor pancreático y biliar,262212,,2025-08-04 04:02:33.424597+00,2.0,19,1
100,MV PERRO GASTROINTESTINAL X  2 KG.,2024-02-01,products/dfv/reduced/prod_590555_red.jpg,0.0,0.0,0.0,Desc. MV PERRO GASTROINTESTINAL X  2 KG.,"Humedad (m_x.) 10,00% Proteina bruta (m_n.) 28,00% Grasas (m_n.) 13,00% Fibras (m_x.) 3,00% Materia mineral (m_x.) 7,00% Calcio (m_n.) 0,90% (m_x.) 1,30% F_sforo (m_n.) 0,80% (m_x.) 1,30% Relaci_n Omega 3 / Omega 6 1 - 4",Alimento completo para perros con problemas gastrointestinales.,590555,,2025-08-04 04:02:40.785819+00,10.0,8,1
184,NEO VITAPEL X 30 COMP.,2024-02-16,products/dfv/reduced/prod_60265_red.jpg,0.0,0.0,0.0,Desc. NEO VITAPEL X 30 COMP.,Buspirona 40 mg/comp,Suplemento vitamínico para la piel y el pelo.,60265,,2025-08-04 04:02:43.631004+00,2.0,9,1
483,PETS PROTECTOR MAX DE 40 A 60 KG.,2024-05-12,products/dfv/reduced/prod_262255_red.jpg,0.0,0.0,0.0,Desc. PETS PROTECTOR MAX DE 40 A 60 KG.,"Fipronil, Metopreno",Antiparasitario externo pulguicida y garrapaticida,262255,,2025-08-04 04:02:34.046939+00,4.0,19,1
776,ECTHONIL PERROS 02 A 05 KG,2024-12-23,products/dfv/reduced/prod_1201112_red.jpg,0.0,0.0,0.0,Desc. ECTHONIL PERROS 02 A 05 KG,Fipronil: 1.00 g.  Imidacloprid: 10.00 g.  Piriproxifen: 1.00 g.  Etofenprox: 10.00 g.  Excipientes: c.s.p,"Antiparasitario externo pulguicida, garrapaticida, repelente y control ambiental. Administración: De 2 a 5 kg : 1 pipeta de 0,5 ml.",1201112,,2025-08-04 04:01:00.237162+00,1.0,8,1
9,COLIRAMA VIRAL COLIRIO X 10 ML.,2024-02-01,products/dfv/reduced/prod_120031_red.jpg,0.0,0.0,0.0,Desc. COLIRAMA VIRAL COLIRIO X 10 ML.,"Idoxuridina, Fenazona, cloruro de Benzalconio, clorhidrato de nafazolina, con Hidroxipropilmetilcelulosa.","Antiviral oftálmico, bactericida, AINE, descongestivo.",120031,,2025-08-04 04:00:22.621452+00,2.0,8,1
470,FELIWAY FRIENDS DIFUSOR + REPUESTO 48 ML,2024-05-12,products/dfv/reduced/prod_262206_red.jpg,0.0,0.0,0.0,Desc. FELIWAY FRIENDS DIFUSOR + REPUESTO 48 ML,Feromonas,Solución fácil de usar para reducir los conflictos entre gatos que viven juntos,262206,,2025-08-04 04:02:33.499552+00,9.0,19,1
855,ADVANTIX X 1 PIP H/10,2025-07-12,products/dfv/reduced/prod_20395_red.jpg,0.0,0.0,0.0,Desc. ADVANTIX X 1 PIP H/10,Imidacloprid 10 % Permetrina 50 %,"Antiparasitario externo, Pulguicida, Garrapaticida, Repelente de insectos",20395,,2025-08-04 04:01:50.36995+00,4.0,1598,1
528,TERRAMICINA L.A. S.I. X  50ML,2024-05-12,products/dfv/reduced/prod_283095_red.jpg,0.0,0.0,0.0,Desc. TERRAMICINA L.A. S.I. X  50ML,Oxitetraciclina.,Antibiótico de amplio espectro y larga acción.,283095,,2025-08-04 04:02:36.347827+00,2.0,20,1
663,NOGASTROL 30 MG X 25 COMP. (5 BL X 5 C),2024-10-29,products/dfv/reduced/prod_261302_red.jpg,0.0,0.0,0.0,Desc. NOGASTROL 30 MG X 25 COMP. (5 BL X 5 C),,Protector gástrico. Antiulceroso,261302,,2025-08-04 04:02:26.752034+00,2.0,945,1
828,SIMPARICA TRIO H05 PURPURA,2025-06-18,products/dfv/reduced/prod_2831003_red.jpg,0.0,0.0,0.0,Desc. SIMPARICA TRIO H05 PURPURA,Sarolaner Moxidectina Pirantel,"Antiparasitario interno y externo. Controla pulgas, garrapatas, áscaris y anquilostomas.",2831003,,2025-08-04 04:02:36.389144+00,1.0,20,1
928,COMFORTIS H/18 KG 560MG  X 1 TABL,2025-07-12,products/dfv/reduced/prod_81003_red.jpg,0.0,0.0,0.0,Desc. COMFORTIS H/18 KG 560MG  X 1 TABL,Spinosad ,En caninos para la prevención y tratamiento de infestaciones de pulgas (Ctenocephalides felis).,81003,,2025-08-04 04:02:44.144509+00,4.0,1598,1
384,INJECTION I X 50 ML,2024-05-12,products/dfv/reduced/prod_262014_red.jpg,0.0,0.0,0.0,Desc. INJECTION I X 50 ML,Ivermectina 1%.,Antiparasitario interno y externo inyectable,262014,,2025-08-04 04:02:28.009006+00,3.0,19,1
362,,2024-05-09,,0.0,0.0,0.0,Desc. ,,,160123,,2024-05-09 04:00:51.154586+00,,18,0
650,GIACOCCIDE ROJO(10-20KG) X 50 COMP,2024-10-29,products/dfv/reduced/prod_261075_red.jpg,0.0,0.0,0.0,Desc. GIACOCCIDE ROJO(10-20KG) X 50 COMP,"Dimetridazol 0,33 g. Sulfadimetoxina: 0,5 g.","Coccidicida, giardicida, antibacteriano.",261075,,2025-08-04 04:02:16.051454+00,3.0,945,1
836,BAYTRIL INYECTABLE 5% X 100 ML,2025-07-12,enterprises/logo_redondo.jpg,0.0,0.0,0.0,Desc. BAYTRIL INYECTABLE 5% X 100 ML,Enrofloxacina 5 %.,Antibiótico de amplio espectro.,200100,,2025-08-04 04:00:33.724989+00,2.0,1598,1
779,ECTHONIL PERROS 26 A 35 KG,2024-12-23,products/dfv/reduced/prod_1201116_red.jpg,0.0,0.0,0.0,Desc. ECTHONIL PERROS 26 A 35 KG,Fipronil: 1.00 g.  Imidacloprid: 10.00 g.  Piriproxifen: 1.00 g.  Etofenprox: 10.00 g.  Excipientes: c.s.p,"Antiparasitario externo pulguicida, garrapaticida, repelente y control ambiental. Administración: De 26 a 35 kg: 1 pipeta de 3,5 ml.",1201116,,2025-08-04 04:01:02.582035+00,1.0,8,1
85,OL TRANS FLEX X 21 CS,2024-02-01,products/dfv/reduced/prod_120358_red.jpg,0.0,0.0,0.0,Desc. OL TRANS FLEX X 21 CS,"Glucosamina Sulfato 440 mg.
Metilsulfonilmetano (MSM) 400 mg.
Ácido Ascórbico 66 mg.
Manganeso Gluconato 10 mg",Coadyuvante osteoarticular en comprimidos palatables,120358,,2025-08-04 04:01:22.634352+00,6.0,8,1
