id,list_price,list_price_2,selling_price,quantity,bonus_coefficient,discount_coefficient,minimum_quantity,maximum_quantity,stock_available,timestamp,offer_id,product_id,suboffer_id
1,1000.00,0.00,0.00,0,1.00,1.00,1,70,999,2024-02-11 14:16:01.707892+00,1,113,1
2,2000.00,0.00,0.00,0,1.00,1.00,1,70,999,2024-02-11 14:16:01.714895+00,1,114,1
3,2000.00,0.00,0.00,0,1.00,1.00,3,80,2997,2024-02-11 14:16:01.725878+00,1,114,2
526,11448.00,0.00,0.00,0,0.00,0.00,0,99999999,1000,2025-06-23 14:48:16.588133+00,90,593,151
206,3427.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 19:32:07.936953+00,32,423,41
9,5303.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 20:29:47.914833+00,3,72,5
207,3808.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 19:32:07.942226+00,32,422,41
208,4283.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 19:32:07.946439+00,32,425,41
209,5140.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 19:32:07.950545+00,32,426,41
10,5950.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 20:29:47.919104+00,3,71,5
11,7999.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 20:29:47.922551+00,3,73,5
12,4443.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 20:29:47.926214+00,3,70,5
13,9972.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 20:29:47.929417+00,3,74,5
14,4184.00,0.00,0.00,0,1.00,1.00,0,1000000000,100000,2024-05-28 20:31:15.243685+00,3,76,6
15,4605.00,0.00,0.00,0,1.00,1.00,0,1000000000,100000,2024-05-28 20:31:15.248904+00,3,79,6
60,51808.00,0.00,0.00,0,1.00,1.00,0,1000,9997,2024-11-05 14:55:57.394548+00,17,78,21
80,13111.60,0.00,0.00,0,1.00,1.00,0,200,971,2024-09-10 22:57:43.069177+00,22,555,27
70,10647.90,0.00,0.00,0,1.00,1.00,0,1000,995,2024-09-09 11:50:18.90111+00,20,345,24
22,10084.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 15:48:54.918183+00,4,69,7
20,6923.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 15:48:54.926205+00,4,68,7
18,5466.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 15:48:54.932382+00,4,67,7
16,4324.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 15:48:54.937804+00,4,66,7
23,26411.00,0.00,0.00,0,1.00,1.00,0,9999999,100009,2024-05-29 15:57:13.700137+00,4,75,8
24,32879.00,0.00,0.00,0,1.00,1.00,0,9999999,100009,2024-05-29 15:57:13.706464+00,4,77,8
25,44009.00,0.00,0.00,0,1.00,1.00,0,9999999,100009,2024-05-29 15:57:13.712174+00,4,78,8
27,21932.50,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:32:23.261368+00,5,167,9
26,16735.90,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:32:23.265085+00,5,168,9
28,18805.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:36:22.33695+00,6,170,10
29,27659.60,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:39:04.442464+00,7,117,11
30,29158.90,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:39:04.452302+00,7,118,11
31,40843.10,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:39:04.46153+00,7,119,11
32,48929.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:39:04.469345+00,7,120,11
33,59372.40,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:39:04.477204+00,7,121,11
34,4005.96,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:45:10.660916+00,8,188,12
35,4882.82,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:45:10.666452+00,8,191,12
